Id,Category
0,rabbit
1,sailboat
2,rabbit
3,moustache
4,moustache
5,moustache
6,rabbit
7,sailboat
8,sailboat
9,rabbit
10,rabbit
11,rabbit
12,moustache
13,moustache
14,sailboat
15,rabbit
16,moustache
17,rabbit
18,sailboat
19,moustache
20,rabbit
21,moustache
22,sailboat
23,moustache
24,sailboat
25,rabbit
26,rabbit
27,sailboat
28,rabbit
29,rabbit
30,rabbit
31,rabbit
32,moustache
33,sailboat
34,rabbit
35,moustache
36,rabbit
37,rabbit
38,sailboat
39,sailboat
40,sailboat
41,moustache
42,moustache
43,rabbit
44,moustache
45,rabbit
46,rabbit
47,rabbit
48,moustache
49,moustache
50,moustache
51,moustache
52,rabbit
53,rabbit
54,moustache
55,rabbit
56,rabbit
57,moustache
58,rabbit
59,moustache
60,sailboat
61,rabbit
62,moustache
63,rabbit
64,rabbit
65,moustache
66,rabbit
67,moustache
68,sailboat
69,rabbit
70,moustache
71,rabbit
72,sailboat
73,rabbit
74,rabbit
75,rabbit
76,sailboat
77,rabbit
78,moustache
79,moustache
80,moustache
81,moustache
82,sailboat
83,rabbit
84,rabbit
85,rabbit
86,sailboat
87,rabbit
88,moustache
89,sailboat
90,moustache
91,rabbit
92,rabbit
93,sailboat
94,moustache
95,moustache
96,rabbit
97,moustache
98,moustache
99,rabbit
100,rabbit
101,moustache
102,sailboat
103,moustache
104,rabbit
105,moustache
106,rabbit
107,sailboat
108,moustache
109,moustache
110,sailboat
111,moustache
112,moustache
113,moustache
114,moustache
115,rabbit
116,rabbit
117,moustache
118,sailboat
119,moustache
120,rabbit
121,sailboat
122,sailboat
123,moustache
124,sailboat
125,sailboat
126,sailboat
127,moustache
128,sailboat
129,rabbit
130,rabbit
131,rabbit
132,moustache
133,rabbit
134,moustache
135,moustache
136,rabbit
137,rabbit
138,moustache
139,sailboat
140,rabbit
141,rabbit
142,rabbit
143,sailboat
144,rabbit
145,sailboat
146,sailboat
147,sailboat
148,moustache
149,rabbit
150,moustache
151,moustache
152,rabbit
153,moustache
154,moustache
155,moustache
156,sailboat
157,moustache
158,moustache
159,sailboat
160,rabbit
161,rabbit
162,moustache
163,sailboat
164,moustache
165,sailboat
166,moustache
167,moustache
168,rabbit
169,sailboat
170,rabbit
171,moustache
172,rabbit
173,rabbit
174,sailboat
175,rabbit
176,moustache
177,moustache
178,rabbit
179,moustache
180,rabbit
181,sailboat
182,rabbit
183,sailboat
184,moustache
185,rabbit
186,sailboat
187,moustache
188,sailboat
189,moustache
190,moustache
191,sailboat
192,sailboat
193,rabbit
194,sailboat
195,sailboat
196,sailboat
197,rabbit
198,rabbit
199,sailboat
200,moustache
201,moustache
202,sailboat
203,sailboat
204,rabbit
205,moustache
206,moustache
207,rabbit
208,moustache
209,rabbit
210,rabbit
211,moustache
212,rabbit
213,moustache
214,sailboat
215,moustache
216,moustache
217,moustache
218,rabbit
219,moustache
220,moustache
221,moustache
222,moustache
223,rabbit
224,rabbit
225,sailboat
226,moustache
227,moustache
228,sailboat
229,sailboat
230,rabbit
231,rabbit
232,sailboat
233,moustache
234,rabbit
235,rabbit
236,sailboat
237,moustache
238,rabbit
239,sailboat
240,sailboat
241,moustache
242,sailboat
243,rabbit
244,rabbit
245,rabbit
246,rabbit
247,moustache
248,moustache
249,moustache
250,sailboat
251,sailboat
252,moustache
253,moustache
254,moustache
255,rabbit
256,rabbit
257,moustache
258,rabbit
259,sailboat
260,moustache
261,sailboat
262,rabbit
263,moustache
264,rabbit
265,moustache
266,rabbit
267,moustache
268,rabbit
269,rabbit
270,rabbit
271,sailboat
272,rabbit
273,moustache
274,rabbit
275,rabbit
276,rabbit
277,rabbit
278,rabbit
279,moustache
280,moustache
281,sailboat
282,moustache
283,moustache
284,rabbit
285,rabbit
286,moustache
287,moustache
288,moustache
289,rabbit
290,moustache
291,moustache
292,rabbit
293,moustache
294,moustache
295,sailboat
296,moustache
297,moustache
298,moustache
299,rabbit
300,rabbit
301,moustache
302,sailboat
303,rabbit
304,moustache
305,sailboat
306,rabbit
307,moustache
308,moustache
309,moustache
310,moustache
311,rabbit
312,sailboat
313,sailboat
314,moustache
315,rabbit
316,rabbit
317,moustache
318,sailboat
319,sailboat
320,rabbit
321,moustache
322,moustache
323,sailboat
324,rabbit
325,rabbit
326,moustache
327,rabbit
328,moustache
329,sailboat
330,rabbit
331,sailboat
332,sailboat
333,rabbit
334,sailboat
335,rabbit
336,moustache
337,rabbit
338,rabbit
339,sailboat
